# DraftBoard Session Export
# Exported: 2026-05-03T19:07:22.053Z
# OurPicksLeft: 0
overall,player,position,team
UDFA,Kapena Gushiken,DB,PHI
UDFA,Maximus Pulley,DB,PHI
UDFA,Tucker Large,DB,PHI
UDFA,Rocco Underwood,LS,PHI
UDFA,Lake McRee,TE,PIT
UDFA,Chamon Metayer,TE,PIT
UDFA,Kevin Jobity Jr,DL,PIT
UDFA,Devan Boykin,DB,PIT
UDFA,Daylan Carnell,DB,PIT
UDFA,Laith Marjan,K,PIT
MCI,Jared Brown,WR,SF
UDFA,Wesley Grimes,WR,SF
UDFA,Will Pauling,WR,SF
UDFA,Khalil Dinkins,TE,SF
UDFA,Mikail Kamara,DL,SF
UDFA,Bryson Eason,DT,SF
UDFA,James Thompson Jr,DT,SF
UDFA,Mikail Kamara,LB,SF
MCI,Colby Humphrey,CB,SF
UDFA,Jalen Stroman,S,SF
UDFA,Jake Boumeester,P,SF
MCI,Jake Retzlaff,QB,SEA
UDFA,Lance Mason,TE,SEA
UDFA,Michael Briscoe,WR,SEA
UDFA,Levi Wentz,WR,SEA
UDFA,Uso Seumalo,DT,SEA
UDFA,Aidan Hubbard,Edge,SEA
UDFA,Marvin Jones Jr,Edge,SEA
UDFA,Uso Seumalo,NT,SEA
MCI,Jordan Crook,LB,SEA
UDFA,Devean Deal,LB,SEA
UDFA,Marvin Jones Jr,LB,SEA
MCI,Joshua Eaton,CB,SEA
MCI,Myles Rowser,S,SEA
MCI,Marc Stampley II,DB,SEA
UDFA,Jalon Daniels,QB,TB
UDFA,Chandler Morris,QB,TB
UDFA,Noah Short,WR,TB
MCI,Dean Patterson,WR,TB
UDFA,Eric Rivers,WR,TB
MCI,Ademola Faleye,TE,TB
UDFA,Paul Rubelt,OT,TB
UDFA,Deshawn McKnight,DT,TB
UDFA,Caden Fordham,LB,TB
UDFA,Javin Wright,LB,TB
UDFA,Jack Pyburn,Edge,TB
UDFA,JY Gilmore,DB,TB
MCI,Kaidon Salter,QB,TEN
UDFA,Hank Beatty,WR,TEN
UDFA,Tyren Montgomery,WR,TEN
MCI,Kobe Barnes,OL,TEN
UDFA,Rasheed Miller,OT,TEN
UDFA,Aamil Wagner,OT,TEN
UDFA,Shad Banks Jr,LB,TEN
UDFA,Sean Brown,LB,TEN
UDFA,Mani Powell,LB,TEN
UDFA,Jeadyn Lukus,CB,TEN
UDFA,Latrell McCutchin Sr,CB,TEN
UDFA,Jalen McMurray,CB,TEN
UDFA,Bishop Fitzgerald,S,TEN
UDFA,Jalen McMurray,S,TEN
UDFA,Robert Henry Jr,RB,WAS
UDFA,Jaden Bradley,WR,WAS
UDFA,Chris Hilton Jr,WR,WAS
UDFA,Jeffrey M'Ba,DL,WAS
UDFA,Fred Davis II,CB,WAS
UDFA,Malik Spencer,S,WAS
UDFA,Drew Stevens,K,WAS
UDFA,Nolan Rucci,OL,IND
UDFA,Noah Whittington,RB,HOU
UDFA,Jaeden Roberts,OL,PHI
UDFA,Zxavian Harris,DT,NO
UDFA,Thaddeus Dixon,CB,NY
UDFA,Patrick Payton,EDGE,CAR
UDFA,Devonta Smith,CB,CAR
MCI,Rahsul Faison,RB,KC
MCI,Jeremiah Williams,DT,MIN
